Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
budget,DE,3030,3030,4D,1,1000,8,8,111197.02687168556,112365.89895787863,1168.8720861930633,True,467.8243236073476,1.4499183510001785,-26.9158 -9.5411;419.6164 493.1122;-888.3210 -169.7957;-649.1559 -665.4555;-7.0738 684.9324;232.4538 -911.4901;-473.3433 280.4229;750.6901 77.8928
budget,DE,3030,3030,4D,1,1000,8,9,111338.71482093136,112365.89895787863,1027.1841369472677,True,346.26685650353824,1.3880757070000982,-858.4246 -357.8662;199.9219 -350.6052;-746.6403 512.8239;-563.4606 -176.4909;-133.5768 -506.8004;-126.8794 103.2773;942.9843 159.9766;512.5664 102.8367
budget,DE,3030,3030,4D,1,1000,8,10,111203.6853254091,112365.89895787863,1162.2136324695311,True,443.87834075674533,1.3657689140000002,711.8126 658.4567;-399.1162 -704.4297;-328.7347 554.8512;-639.9101 132.6669;430.9068 170.9245;-9.4606 46.8933;136.7992 -372.1962;758.1130 -340.8358
budget,DE,3030,3030,4D,1,1000,8,11,111478.13647712316,112365.89895787863,887.7624807554675,True,338.51076240455177,1.3918387280000388,-607.4565 -23.7113;-912.7574 -383.3441;-290.3897 -545.3630;329.6797 746.2857;-265.9356 190.4403;8.5441 -133.7044;172.2413 446.6148;763.8691 -31.1624
budget,DE,3030,3030,4D,1,1000,8,12,111702.62547553048,112365.89895787863,663.2734823481442,True,363.6298135433353,1.413087712000106,-883.7407 389.9791;57.9606 -302.0846;396.9120 -79.1207;-440.4197 771.2348;242.8399 -615.2081;691.1057 -562.5999;-239.9231 400.1910;781.9450 581.2422
budget,DE,3030,3030,4D,1,1000,8,13,111437.97647998249,112365.89895787863,927.9224778961361,True,378.5703507042049,1.3624251469998399,62.9342 -807.4749;-463.2740 -450.6522;-647.6003 88.1332;355.0964 872.3683;118.5671 121.2814;894.1259 -58.4933;376.6431 -249.2960;522.8613 533.0005
budget,DE,3030,3030,4D,1,1000,8,14,111407.93992293529,112365.89895787863,957.959034943342,True,379.03334946424513,1.3317650280000635,56.3709 160.2050;353.2102 662.2629;-613.5275 519.6264;329.2810 -618.9385;-429.5190 -858.7379;813.5800 132.1723;-619.0829 -264.0465;-153.6133 -155.3467
budget,DE,3030,3030,4D,1,1000,8,15,111517.19633507944,112365.89895787863,848.7026227991882,True,358.5859024793979,1.4165115199998581,-722.3834 -558.9820;-180.9871 374.7071;-545.7345 -192.4848;299.6172 687.6365;99.9266 102.6256;876.3903 -132.0170;628.8180 159.5836;-520.6550 489.6399
budget,DE,3030,3030,4D,1,1000,8,16,111042.37428982064,112365.89895787863,1323.5246680579876,True,377.3907420741224,1.4247492300000886,632.6241 -324.7682;4.4593 -937.7494;327.8853 459.7520;921.2852 40.3192;263.2820 -402.2937;-151.6332 241.4862;-379.9791 911.6928;-548.9043 -282.9625
budget,DE,3030,3030,4D,1,1000,8,17,111246.50805863725,112365.89895787863,1119.390899241378,True,329.6084009202342,1.3801602179999009,982.8010 59.0056;-546.3761 -431.8509;77.2594 -828.2386;-496.7330 587.7879;-164.3307 -205.6454;-413.4014 -733.4457;417.0266 -146.7044;171.8930 532.7579
