Dataset,Radius,Turbines,Algorithm,Seed,Linear,Ideal,Cubic,IdealCubic,CubicCutout,IdealCubicCutout,GaussLoss004,GaussLoss0022,JensenLoss,MinSpacing,Feas5D,Feas6D
1,750,8,DE,23,107014.61010418099,112365.89895787863,86572.52571403947,92850.69241538728,83251.93232093254,88406.46983346765,4017.1318381406018,5656.261756593696,5351.288853697639,343.15027029948413,False,False
1,750,8,DE,24,110528.79618203169,112365.89895787863,90686.25027177851,92850.69241538728,86668.76398694885,88406.46983346765,2236.957826655198,4233.738984079784,1837.1027758469427,324.23399491465557,False,False
1,750,8,DE,25,109256.6215110006,112365.89895787863,89211.47892489859,92850.69241538728,85399.51413219275,88406.46983346765,3351.3887939365377,5534.905140767718,3109.2774468780262,322.7906596084896,False,False
1,750,8,DE,26,109442.46121064134,112365.89895787863,89426.81576560749,92850.69241538728,85586.6193642638,88406.46983346765,4095.290344973575,7166.892352331852,2923.437747237287,311.9036051195463,False,False
1,750,8,DE,27,109694.28734746003,112365.89895787863,89693.87945021711,92850.69241538728,85895.30035085302,88406.46983346765,2336.4035042538453,3994.5021760174714,2671.611610418593,358.30365880338746,False,False
1,750,8,DE,28,109209.1129298491,112365.89895787863,89150.80426433406,92850.69241538728,85369.97086449727,88406.46983346765,3706.2157030107046,6355.325049968553,3156.786028029528,366.35482457316743,False,False
1,750,8,DE,29,109348.36968708364,112365.89895787863,89344.80414078824,92850.69241538728,85440.31275377772,88406.46983346765,2994.224922189751,4668.163602416316,3017.5292707949848,311.05182952768894,False,False
1,750,8,DE,30,109025.48928968495,112365.89895787863,88924.54495974176,92850.69241538728,85214.01744404885,88406.46983346765,3613.092638881775,6106.393581930635,3340.409668193679,316.6782174300082,False,False
1,750,8,LXSSA,1,111936.73062221617,112365.89895787863,92344.73237555524,92850.69241538728,88000.50677164213,88406.46983346765,703.8480732697644,935.5159297479549,429.16833566245623,406.6740346002091,True,False
1,750,8,LXSSA,2,111536.00947323572,112365.89895787863,91867.05427647314,92850.69241538728,87638.45866471162,88406.46983346765,1323.1872649887518,2221.796144005959,829.889484642903,374.2263804658335,False,False
1,750,8,LXSSA,3,111778.27368350221,112365.89895787863,92159.22705790559,92850.69241538728,87845.90226411892,88406.46983346765,911.6945008299517,1344.3277866349672,587.6252743764198,396.2078132699829,True,False
1,750,8,LXSSA,4,111737.65950139632,112365.89895787863,92109.54468245908,92850.69241538728,87815.7335899894,88406.46983346765,1443.7030446026329,1739.3830225308775,628.2394564823044,308.15308291987003,False,False
1,750,8,LXSSA,5,110379.68083136901,112365.89895787863,90503.78611898034,92850.69241538728,86548.13540994334,88406.46983346765,2437.596834196811,4307.1722548278485,1986.218126509615,355.31751075560385,False,False
1,750,8,LXSSA,6,111150.89877555668,112365.89895787863,91415.4851252969,92850.69241538728,87263.61108866216,88406.46983346765,1563.9832462856139,2623.424246060662,1215.00018232195,345.70626933471186,False,False
1,750,8,LXSSA,7,111197.32582139001,112365.89895787863,91475.54667270512,92850.69241538728,87294.06156436668,88406.46983346765,1645.48035261326,2185.635577443187,1168.573136488616,308.00201097823947,False,False
1,750,8,LXSSA,8,111858.05931264588,112365.89895787863,92252.8017357837,92850.69241538728,87923.34943933868,88406.46983346765,986.096391479543,1040.4395224034088,507.83964523274335,322.8224107903497,False,False
1,750,8,LXSSA,9,111314.04525584573,112365.89895787863,91611.14789272525,92850.69241538728,87410.74868040706,88406.46983346765,1298.7142753623339,2064.2019025006884,1051.853702032895,326.25487374821626,False,False
1,750,8,LXSSA,10,111083.74301394797,112365.89895787863,91350.82680514411,92850.69241538728,87163.96359976244,88406.46983346765,2055.2501557521027,3144.3482741757034,1282.1559439306584,311.1612004023852,False,False
1,750,8,LXSSA,11,111022.54551743921,112365.89895787863,91266.4726494968,92850.69241538728,87140.97965300748,88406.46983346765,1884.0448808596411,3577.6756808564824,1343.3534404394159,313.3708586076357,False,False
1,750,8,LXSSA,12,111836.15313624192,112365.89895787863,92227.15804626369,92850.69241538728,87902.16006641081,88406.46983346765,885.6653764506191,1320.913162698649,529.7458216367086,383.5747321048642,False,False
1,750,8,LXSSA,13,111316.22688357171,112365.89895787863,91613.54426558259,92850.69241538728,87410.9566969782,88406.46983346765,1344.7046605985379,1516.3924216581945,1049.6720743069163,371.8855037163473,False,False
