Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
LXSSA,count,2,750,8,27,10000001530.476582,56992.5505765574,False
LXSSA,count,2,750,8,28,1587.4588220419682,56935.56833543535,True
LXSSA,count,2,750,8,29,1911.308278585253,56611.71887889207,True
LXSSA,count,2,750,8,30,1582.6126258497752,56940.414531627546,True
LXSSA,count,2,1000,8,1,648.3757391442705,57874.65141833305,True
LXSSA,count,2,1000,8,2,645.259770255856,57877.767387221465,True
LXSSA,count,2,1000,8,3,1179.1122035915105,57343.91495388581,True
LXSSA,count,2,1000,8,4,985.9276177763022,57537.09953970102,True
LXSSA,count,2,1000,8,5,679.6779355026883,57843.34922197463,True
LXSSA,count,2,1000,8,6,1083.8902576585242,57439.1368998188,True
LXSSA,count,2,1000,8,7,718.6345651801093,57804.39259229721,True
LXSSA,count,2,1000,8,8,793.6919504148755,57729.335207062446,True
LXSSA,count,2,1000,8,9,987.0583093067908,57535.96884817053,True
LXSSA,count,2,1000,8,10,958.179876196511,57564.84728128081,True
LXSSA,count,2,1000,8,11,1282.4068380403696,57240.62031943695,True
LXSSA,count,2,1000,8,12,940.684731615198,57582.34242586212,True
LXSSA,count,2,1000,8,13,772.8067007016871,57750.220456775634,True
LXSSA,count,2,1000,8,14,1189.9937452187805,57333.03341225854,True
LXSSA,count,2,1000,8,15,645.148746565581,57877.87841091174,True
LXSSA,count,2,1000,8,16,927.864333935242,57595.16282354208,True
LXSSA,count,2,1000,8,17,1083.4085591270923,57439.61859835023,True
LXSSA,count,2,1000,8,18,800.2860255912456,57722.741131886076,True
LXSSA,count,2,1000,8,19,737.0382277999524,57785.98892967737,True
LXSSA,count,2,1000,8,20,830.913217269961,57692.11394020736,True
LXSSA,count,2,1000,8,21,571.9575208945389,57951.06963658278,True
LXSSA,count,2,1000,8,22,754.8776872076269,57768.149470269695,True
LXSSA,count,2,1000,8,23,800.578337583509,57722.44881989381,True
LXSSA,count,2,1000,8,24,761.9775326134331,57761.04962486389,True
LXSSA,count,2,1000,8,25,707.1916280494188,57815.8355294279,True
LXSSA,count,2,1000,8,26,916.8260441469247,57606.2011133304,True
LXSSA,count,2,1000,8,27,884.5146523593285,57638.51250511799,True
LXSSA,count,2,1000,8,28,973.8604663634615,57549.16669111386,True
LXSSA,count,2,1000,8,29,814.93265239217,57708.09450508515,True
LXSSA,count,2,1000,8,30,963.6945441036223,57559.3326133737,True
LXSSA,linear,1,500,4,1,94.20673588371574,56088.7427430556,True
LXSSA,linear,1,500,4,2,72.77710635883705,56110.17237258048,True
LXSSA,linear,1,500,4,3,115.02067496943346,56067.92880396988,True
LXSSA,linear,1,500,4,4,96.2208803209287,56086.728598618385,True
LXSSA,linear,1,500,4,5,127.11465390677768,56055.834825032536,True
LXSSA,linear,1,500,4,6,96.86287165592512,56086.08660728339,True
LXSSA,linear,1,500,4,7,96.67704795465397,56086.27243098466,True
LXSSA,linear,1,500,4,8,107.68968271541235,56075.2597962239,True
LXSSA,linear,1,500,4,9,158.7538166282102,56024.195662311104,True
LXSSA,linear,1,500,4,10,164.17687822940206,56018.77260070991,True
LXSSA,linear,1,500,4,11,98.37878922808159,56084.57068971123,True
LXSSA,linear,1,500,4,12,131.05831379994925,56051.891165139365,True
LXSSA,linear,1,500,4,13,87.29179039668088,56095.65768854263,True
LXSSA,linear,1,500,4,14,107.6684256724111,56075.2810532669,True
LXSSA,linear,1,500,4,15,95.81076667687012,56087.138712262444,True
LXSSA,linear,1,500,4,16,71.99807212727319,56110.95140681204,True
LXSSA,linear,1,500,4,17,96.11687572179653,56086.83260321752,True
LXSSA,linear,1,500,4,18,101.47258827331825,56081.476890665996,True
LXSSA,linear,1,500,4,19,83.03474848777114,56099.91473045154,True
LXSSA,linear,1,500,4,20,84.42580327361793,56098.523675665696,True
LXSSA,linear,1,500,4,21,73.39710362051119,56109.5523753188,True
LXSSA,linear,1,500,4,22,170.1860914609424,56012.76338747837,True
LXSSA,linear,1,500,4,23,128.45201624648325,56054.49746269283,True
LXSSA,linear,1,500,4,24,111.79503053478402,56071.15444840453,True
LXSSA,linear,1,500,4,25,118.95173904855619,56063.99773989076,True
LXSSA,linear,1,500,4,26,71.44896442904428,56111.50051451027,True
