Experiment,Algorithm,Budget,Calls,Turbines,Seed,AEP,IdealAEP,Feasible,MinSpacing,Seconds,Coordinates
hr16,SSA,6030,6030,16,5,136.91185031856983,149.2632720953485,True,324.3437639926735,6.0934597189998385,-922.27 674.90;719.20 485.08;401.91 181.74;802.97 169.53;-491.86 -418.40;-182.10 -272.73;262.94 -720.21;-378.05 643.55;-232.27 250.04;576.94 -801.46;220.44 -259.61;720.90 824.73;-558.76 94.03;-736.21 -776.84;43.08 58.28;-825.01 -128.79
hr16,SSA,6030,6030,16,6,135.919969515235,149.2632720953485,True,320.2896735153196,6.017625836999741,61.83 -834.83;-854.12 371.32;608.78 832.83;215.85 -535.04;496.19 -373.82;-85.34 -317.75;-310.33 495.16;-541.17 -544.30;-577.11 716.25;558.85 145.45;391.03 597.95;-837.82 48.13;803.54 -484.23;28.76 568.12;-233.88 -660.21;169.09 189.87
hr16,SSA,6030,6030,16,7,134.58658808124568,149.2632720953485,True,324.38018891992544,5.823754973999712,-5.13 409.69;-642.25 -521.44;-37.24 -161.59;430.01 318.69;-760.85 5.52;-594.56 372.60;-390.26 -219.20;-40.82 -499.14;591.77 -84.00;268.92 -384.18;229.64 36.98;-330.69 592.57;772.43 556.57;609.87 -573.97;241.06 -810.47;864.63 -259.42
hr16,SSA,6030,6030,16,8,135.24693144845773,149.2632720953485,True,322.0333955375984,6.137798032999854,-371.84 -480.31;581.12 -684.97;232.01 -679.88;-163.11 -758.29;298.00 -335.93;-785.48 -409.46;473.83 551.37;-209.27 531.88;638.55 -363.67;-737.79 708.02;-358.41 113.52;140.78 -20.60;3.83 270.86;-75.17 -273.77;-788.86 156.53;751.92 -37.11
hr16,SSA,6030,6030,16,9,138.69644654656196,149.2632720953485,True,327.2493252265551,5.950791038000261,-774.26 282.94;-319.80 -133.36;-629.63 -378.83;-267.34 -772.50;-741.02 -63.60;-915.24 653.55;634.72 -695.48;296.69 -321.90;811.28 124.68;395.80 586.96;-380.34 820.36;752.15 446.54;718.04 814.56;839.09 -353.07;-7.35 354.82;17.69 738.74
hr16,SSA,6030,6030,16,10,137.46701531129042,149.2632720953485,True,326.68116581446714,6.1343236259999685,-273.76 17.46;249.21 332.68;-892.89 776.55;-135.29 832.12;-567.93 -729.88;-218.68 354.55;272.51 809.50;653.65 -407.64;327.56 -11.89;-303.69 -463.96;66.32 -605.80;622.24 129.12;433.54 -772.41;719.39 742.85;-701.44 287.09;-670.22 -325.39
hr16,SSA,6030,6030,16,11,136.24902049532363,149.2632720953485,True,321.7135355761605,6.114438267999958,66.00 246.12;580.50 790.17;101.92 -664.06;-588.24 431.74;576.51 -245.28;-249.11 -739.08;-348.37 823.02;-364.66 -425.05;892.20 -436.81;-585.43 -728.35;-280.32 216.90;-362.09 -102.17;347.88 67.90;-152.56 567.76;-707.27 -3.02;733.02 413.82
hr16,SSA,6030,6030,16,12,137.10624533347254,149.2632720953485,True,324.9147118668063,5.870288995999999,70.40 -834.83;-619.45 133.34;359.69 -625.84;448.43 -279.50;748.18 28.84;741.62 -765.63;686.89 683.23;-357.51 354.51;-572.69 828.78;-474.58 -239.20;172.52 799.03;-851.02 463.94;143.44 -167.45;-191.25 678.76;-323.83 -680.91;307.60 167.31
hr16,SSA,6030,6030,16,13,137.7196607622678,149.2632720953485,True,336.9196397800005,6.091522441000052,578.68 827.26;-339.98 -572.74;849.99 -765.69;761.59 -407.46;411.45 271.45;20.55 212.89;-720.18 589.28;431.08 -530.67;743.47 334.64;132.19 -813.49;-789.32 -95.33;-511.34 98.65;-815.60 243.38;-227.97 499.72;239.16 -249.50;-701.60 -744.72
hr16,SSA,6030,6030,16,14,136.58706469213544,149.2632720953485,True,330.7477917518009,5.935708542000157,809.33 -70.17;-76.89 257.15;887.63 -708.30;-528.96 -437.18;237.08 520.22;-665.91 506.86;576.01 641.80;147.29 -142.61;-390.74 26.12;266.03 -471.63;-217.05 560.16;-193.08 -834.83;407.26 -770.70;-218.32 -319.96;-757.30 149.50;416.80 144.04
hr16,SSA,6030,6030,16,15,137.22653106452717,149.2632720953485,True,323.29321165175895,5.914234923000095,-260.52 -822.01;683.04 -513.80;-494.56 -66.01;-223.56 804.46;446.15 296.48;-397.46 314.00;-674.72 808.41;-872.73 552.85;398.13 770.12;-31.93 38.25;-704.85 -422.83;432.51 -104.11;801.42 208.00;327.26 -569.08;-294.19 -473.17;-823.45 179.91
hr16,SSA,6030,6030,16,16,135.54907486514085,149.2632720953485,True,320.6204063441092,6.018589293000332,506.85 -782.67;295.48 -525.35;-386.82 -335.44;-44.06 -331.44;723.78 623.94;605.39 -443.17;341.92 193.94;349.77 -197.35;-721.29 -584.75;867.19 -220.04;-533.28 776.73;-405.48 432.65;624.58 -2.72;-175.50 -821.14;-375.12 82.41;71.12 368.43
hr16,SSA,6030,6030,16,17,135.7497735650351,149.2632720953485,True,324.26816556842476,6.208260097999755,219.81 -820.25;433.56 -351.00;615.04 -714.46;802.33 312.45;14.05 -483.75;-149.60 310.33;517.54 157.39;210.80 302.48;-561.72 757.06;46.19 -150.41;378.91 594.68;-833.93 108.07;94.58 799.99;829.54 -240.34;-292.77 -240.68;-281.88 -656.77
hr16,SSA,6030,6030,16,18,138.5174565198779,149.2632720953485,True,322.61026098858116,5.780216593000205,-755.52 502.87;204.27 750.50;-719.93 -323.02;-523.71 799.75;862.49 -567.86;715.59 189.73;659.79 512.37;-70.97 -746.32;522.32 804.58;815.29 -167.39;-385.66 -832.33;-128.65 156.85;279.62 -105.26;225.02 334.63;-113.86 -411.26;-933.80 826.60
hr16,SSA,6030,6030,16,19,137.98961633323057,149.2632720953485,True,332.14781261370825,6.109841093999876,-612.69 -751.43;34.40 101.77;-693.34 407.98;722.33 456.08;-380.59 110.17;416.67 753.70;122.86 -824.41;-778.78 -249.21;305.49 -430.57;-898.38 751.69;899.12 -720.78;717.34 12.82;346.67 216.77;520.36 -744.56;-206.98 -636.49;-498.44 -439.55
hr16,SSA,6030,6030,16,20,136.7296645203221,149.2632720953485,True,320.918099131701,6.090470152999842,-648.25 507.92;381.77 -32.56;-202.51 566.23;-819.22 -58.03;415.21 802.35;312.48 -459.94;739.28 805.40;864.22 -190.28;879.42 -624.55;-408.67 817.47;635.56 -415.94;-245.27 -710.25;-578.62 -305.43;-54.03 -80.32;102.81 705.32;462.17 459.16
hr16,SSA,6030,6030,16,21,137.06011431087668,149.2632720953485,True,337.478034544078,6.0535310350001055,-420.35 -198.08;-229.14 -476.73;671.70 289.32;-765.90 -327.18;-28.30 -774.07;790.84 -474.77;8.23 -19.70;-714.16 804.01;417.68 693.11;364.21 150.27;294.07 -217.21;-448.31 158.69;735.65 -141.70;-514.23 518.85;3.44 781.14;-854.00 360.76
hr16,SSA,6030,6030,16,22,136.82781520909145,149.2632720953485,True,321.0241273060758,6.011687957000049,-53.05 -321.76;660.89 447.75;556.33 -688.07;-623.38 -326.53;-433.95 -676.94;745.73 760.66;336.72 422.09;-709.52 511.48;-25.21 197.24;174.20 -93.13;-760.86 -621.79;-83.44 639.30;-398.98 430.10;-102.61 -732.75;-795.44 822.43;-675.34 71.64
hr16,SSA,6030,6030,16,23,137.27852655710188,149.2632720953485,True,323.50293971014906,5.978386130999752,-533.96 -753.30;752.21 435.89;-802.68 831.94;-9.98 -769.46;-586.03 502.23;-476.65 806.68;-58.83 -437.39;-271.15 347.83;884.14 -352.94;42.87 198.76;-878.71 354.68;705.40 -24.42;-475.70 -335.33;-835.36 -36.12;-114.91 748.74;578.63 -563.13
hr16,SSA,6030,6030,16,24,136.12298081799324,149.2632720953485,True,327.00365772228423,6.111638041999868,308.13 300.04;-340.85 -216.04;78.73 768.35;496.92 -705.21;764.81 186.88;-138.29 -516.52;-364.77 732.08;-611.89 216.88;-738.08 -402.74;587.46 -363.83;899.10 -474.03;350.54 -130.36;35.26 -217.14;625.84 486.72;-257.05 343.43;-699.15 672.23
hr16,SSA,6030,6030,16,25,136.91396834156845,149.2632720953485,True,324.878116149391,5.893261373000314,590.69 817.57;-856.32 235.34;-442.34 -788.63;-156.00 227.95;-909.14 555.89;430.43 -490.22;287.91 97.73;-625.59 -12.41;122.89 776.45;-249.70 628.27;707.91 483.25;-735.90 833.15;-98.81 -820.72;126.05 -350.89;740.49 -262.92;359.86 548.42
hr16,SSA,6030,6030,16,26,136.51610521772682,149.2632720953485,True,322.9763325383114,5.872198647999994,87.60 425.62;517.13 502.03;133.01 -366.78;453.04 163.71;-662.87 395.20;523.22 -231.25;-707.47 -339.61;-272.64 754.35;931.06 -826.83;486.84 828.11;756.69 -509.14;56.58 70.81;777.66 152.49;-91.48 -687.70;843.07 -186.43;-601.90 -664.25
hr16,SSA,6030,6030,16,27,136.36121819084968,149.2632720953485,True,328.02154015911907,6.0082213599998795,-107.94 -468.05;-747.01 -182.29;5.18 315.25;192.09 43.91;-411.95 -67.74;267.77 650.36;-526.77 832.19;-915.34 809.33;720.53 -397.90;407.57 353.62;-699.72 480.04;-102.11 822.53;497.28 -708.60;-557.13 -526.40;703.74 117.85;-329.20 507.90
hr16,SSA,6030,6030,16,28,135.07374233700693,149.2632720953485,True,322.44264240845274,6.313485672999832,372.74 -750.06;-160.73 330.52;-483.62 332.36;-710.33 -619.35;85.33 779.14;-522.84 -310.53;579.28 380.54;651.36 -526.41;-819.19 -170.71;-134.57 9.14;654.44 833.43;-222.00 -432.79;-882.63 362.59;-552.55 15.18;87.63 -291.40;192.59 112.49
hr16,SSA,6030,6030,16,29,136.67760176382575,149.2632720953485,True,333.12637090714543,6.09851521399969,-7.75 215.12;493.75 -242.76;-619.16 -40.44;144.55 -516.40;-507.23 280.16;351.68 765.60;295.50 -834.76;-108.68 532.59;-314.86 -711.24;-225.51 -264.46;341.78 387.72;667.23 131.30;910.46 -684.64;-657.94 662.36;-843.83 222.25;549.97 -618.58
hr16,SSA,6030,6030,16,30,137.66122944711097,149.2632720953485,True,327.33864758520315,5.948563240000112,874.01 -355.95;-618.88 -743.19;476.65 -148.76;-93.90 -65.96;-453.96 423.31;-300.13 769.56;835.01 16.61;-622.23 711.21;383.44 -649.56;-834.37 10.53;776.31 343.53;-257.25 -453.77;754.81 -710.80;-45.21 -827.10;181.24 797.82;62.14 379.40
hr16,PSO,6030,6030,16,1,138.02634585205297,149.2632720953485,False,311.6487844889329,5.956306229999882,835.51 -397.16;362.33 -927.30;938.70 -741.53;-295.12 834.28;-939.46 763.88;732.22 -102.45;-496.05 -307.65;-91.56 -640.21;748.90 663.48;281.13 695.69;-231.46 348.38;-188.68 -256.21;-604.59 783.79;-447.37 -748.19;-756.10 -884.04;403.93 90.25
hr16,PSO,6030,6030,16,2,138.54901971349216,149.2632720953485,False,319.65806972285606,5.753913349999948,-134.64 -521.34;-656.08 503.22;332.33 -512.26;843.37 -155.23;-694.36 -751.42;848.08 -508.93;670.70 843.81;126.61 877.33;560.13 41.52;-301.11 780.60;623.68 473.13;943.44 -830.68;-101.65 -98.69;-763.26 804.38;-308.19 -939.66;-678.03 -385.47
hr16,PSO,6030,6030,16,3,136.65075999509213,149.2632720953485,False,288.77820385312486,5.935000616999787,-67.26 103.56;-644.35 -138.39;-768.49 -442.37;23.73 -437.39;-943.44 875.53;785.56 36.48;533.74 -507.05;-639.78 623.85;-420.34 110.32;-263.16 722.81;-943.34 551.42;858.35 -941.22;-429.16 398.96;820.00 -303.22;341.36 -128.43;595.59 737.65
hr16,PSO,6030,6030,16,4,137.20074348310263,149.2632720953485,False,332.97181866956754,5.942751955999938,-262.69 295.68;76.53 -211.01;528.53 -245.65;942.15 -808.04;-545.53 852.76;469.49 141.81;221.24 -647.94;399.20 797.60;488.87 -865.40;39.26 436.01;-712.78 255.12;-942.41 840.50;720.32 616.11;876.16 9.01;902.18 -353.63;-185.83 -550.83
