Spacing,Greedy,Iterations,Evaluations,Dataset,Radius,Turbines,Run,Objective,WakeLoss,Violation,Feasible,Seconds,Coordinates
4D,False,100,3030,1,500,4,30,56102.77728253724,80.17219640207622,0.0,True,0.2673033340000188,-111.2373 -486.8232;-390.2413 311.8526;462.9522 89.8818;299.8642 -400.1013
4D,False,100,3030,1,750,8,1,111920.40454211523,445.4944157634018,0.0,True,0.648828758000036,-27.7211 558.3986;293.9859 -651.8080;-171.3343 88.1961;-380.9897 -616.8400;-642.5684 -385.8134;733.1001 -43.1379;-367.4631 624.2540;508.3428 -399.8313
4D,False,100,3030,1,750,8,2,111965.07553573063,400.8234221479943,0.0,True,0.655747066999993,705.6612 254.0354;-461.8153 -525.7370;-468.5384 548.5479;-724.8582 -14.5441;371.4459 649.6168;103.8925 124.6611;-93.9748 731.5229;376.3452 -628.8305
4D,False,100,3030,1,750,8,3,111782.78856285216,583.110395026466,0.0,True,0.6641919799999982,-319.8831 -613.1368;86.7610 -744.9646;-692.1524 275.5274;527.2161 454.5992;-70.0236 -332.5752;-319.8251 622.4954;53.2104 704.5942;737.8627 134.2140
4D,False,100,3030,1,750,8,4,111877.59053929005,488.30841858858184,0.0,True,0.6575354409999932,-674.3009 30.3426;652.4125 18.3808;-76.3271 -404.2099;379.1320 526.1326;-258.1054 197.0101;391.3531 -552.7647;-443.1554 -436.8602;-99.5632 743.3618
4D,False,100,3030,1,750,8,5,111941.22301659387,424.6759412847605,0.0,True,0.6958683960000371,467.4253 586.5267;723.8390 98.0110;-459.9585 -544.2721;-26.5097 -739.6699;-453.5464 581.3397;252.4124 176.4158;-737.2134 -17.7751;99.3577 -364.2138
4D,False,100,3030,1,750,8,6,111900.57612773922,465.32283013941196,0.0,True,0.6633398010000064,-342.9692 -62.6052;-504.4908 -416.5584;749.3901 27.9002;493.8384 -564.4674;83.8200 710.9362;-738.8910 -128.6072;336.8794 -244.2569;56.0039 -500.9038
4D,False,100,3030,1,750,8,7,111557.38351603113,808.5154418474995,0.0,True,0.6828522570000359,509.5697 -508.9410;495.8140 508.1686;-159.0284 -692.0299;13.4243 693.3380;194.0151 -668.4755;681.0249 110.4402;-355.9321 46.9750;-672.0642 301.9907
4D,False,100,3030,1,750,8,8,111945.31925907635,420.57969880227756,0.0,True,0.6826250459999983,128.7873 -738.8596;603.7612 444.5334;148.1604 544.1222;-410.3329 625.6127;747.2542 64.1189;-725.1972 -82.7066;332.0626 -141.2021;-434.3463 -504.7803
4D,False,100,3030,1,750,8,9,111944.46397337566,421.43498450296465,0.0,True,0.661662782999997,174.8516 689.7826;-155.7099 403.7029;470.6309 291.4811;-489.6737 -566.2673;-749.7767 -16.2737;745.9410 -35.8296;180.9882 -598.1813;-513.1911 539.3582
4D,False,100,3030,1,750,8,10,111506.65311732418,859.2458405544457,0.0,True,0.6925237709999692,384.7427 -643.7958;122.2265 139.2904;514.0436 122.7182;-458.0296 -593.7588;-21.6976 -170.0862;700.7478 -264.2631;-706.0264 231.9808;-294.6877 591.7996
