Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
spacing,LXSSA,6030,6030,5D,1,750,8,18,110192.56745133473,112365.89895787863,2173.3315065438946,True,435.7634993125977,2.36428372499995,-467.9026 -197.5635;-293.0275 -667.6544;-21.0541 -214.1672;384.3154 -1.0713;426.3935 -439.4862;-463.6690 568.6566;-728.3685 151.7893;153.4610 425.3665
spacing,LXSSA,6030,6030,5D,1,750,8,19,110816.20657774882,112365.89895787863,1549.6923801298108,True,454.1535225686657,2.250489158000164,-702.0949 -179.4997;-552.5290 285.6829;590.9581 -213.5142;383.1453 -638.5466;224.2803 379.3918;689.8997 285.1064;-204.7622 -658.2877;-289.9508 656.2340
spacing,LXSSA,6030,6030,5D,1,750,8,20,111604.34378965925,112365.89895787863,761.5551682193764,True,450.04346553070116,2.3826257549999355,-3.0263 556.7478;-637.0139 -395.1557;178.5754 82.9620;-607.6339 227.2478;-15.7345 -640.9968;558.2762 -447.9704;-212.6956 -223.9291;561.5032 319.4053
spacing,LXSSA,6030,6030,5D,1,750,8,21,110667.95723571717,112365.89895787863,1697.9417221614567,True,419.88495365926053,2.3607586719999745,-89.1261 610.5674;637.1047 395.3774;189.0820 296.0779;-574.0805 -452.0467;-581.5018 406.2685;-730.7747 -44.8474;-187.3029 -640.1677;-287.3457 -114.7965
spacing,LXSSA,6030,6030,5D,1,750,8,22,111599.45373808744,112365.89895787863,766.4452197911887,True,411.5194055529708,2.342942168000036,90.4019 192.0812;-716.6642 194.4952;-71.5685 669.5461;-71.3459 -610.5291;-314.1757 280.2343;338.8246 543.6809;507.2370 95.3804;-482.9050 -150.6586
spacing,LXSSA,6030,6030,5D,1,750,8,23,110527.40344620736,112365.89895787863,1838.4955116712663,True,394.8904351068865,2.30288858300014,305.9356 87.5381;-641.5821 -384.3130;430.5060 496.4755;536.6199 -357.0189;-88.3217 65.1843;-383.7461 600.8114;-263.8014 -564.1341;-529.9024 143.1106
spacing,LXSSA,6030,6030,5D,1,750,8,24,111625.36519494276,112365.89895787863,740.5337629358692,True,440.7575194462932,2.3373359080001137,177.8973 -550.9031;-539.9579 36.8400;-66.3644 246.9564;-304.1843 618.0479;393.3628 -151.6708;456.4276 595.1230;-305.2330 -620.3297;718.9744 208.2643
spacing,LXSSA,6030,6030,5D,1,750,8,25,111751.63314231779,112365.89895787863,614.2658155608369,True,423.9621320595926,2.3974193650001325,304.2324 -683.7687;666.8093 -219.2934;-421.8557 -540.2032;-723.6828 162.0252;-440.6970 595.8652;446.4092 366.4639;-51.6346 427.4183;-219.7862 -19.1093
spacing,LXSSA,6030,6030,5D,1,750,8,26,111886.34207264413,112365.89895787863,479.55688523450226,True,420.15576405447746,2.4186870010000803,-367.8720 613.6117;-665.0686 179.3146;440.2139 607.2159;259.7217 -29.8277;84.9720 -571.3862;-385.7725 -589.0838;656.9079 -176.8553;-152.9696 -225.0992
spacing,LXSSA,6030,6030,5D,1,750,8,27,110111.04699645819,112365.89895787863,2254.8519614204415,True,389.02090423296005,2.421231804000172,-360.7398 242.1466;242.4374 -70.0351;59.6569 -481.5690;-213.7001 -204.7006;-31.2960 472.7188;371.2859 344.0525;-593.4644 -401.1276;-259.8048 -703.5634
spacing,LXSSA,6030,6030,5D,1,750,8,28,111598.89972735893,112365.89895787863,766.9992305196938,True,422.7497032284365,2.3522079159999976,-695.6345 232.7118;693.5782 115.7632;-370.8658 -323.2861;78.3648 26.9664;-119.8698 -724.4254;470.1855 -348.4805;-354.3614 660.9130;274.3692 401.5323
spacing,LXSSA,6030,6030,5D,1,750,8,29,111889.38134923014,112365.89895787863,476.5176086484862,True,450.463149637088,2.4258568089999244,-172.3369 729.8727;660.3218 -230.6739;-656.1458 362.4773;210.7875 -201.7607;1.0715 227.0070;432.5136 603.3128;-459.4732 -69.1849;-194.1215 -467.4098
spacing,LXSSA,6030,6030,5D,1,750,8,30,111519.17281229488,112365.89895787863,846.7261455837433,True,393.99674749051206,2.47658784500004,747.0319 -61.8908;-119.0577 -700.0025;-331.7961 -288.1557;350.7132 637.8245;-639.1743 367.5928;-118.4467 288.6877;178.3837 -441.6190;342.5041 -0.7448
spacing,SSA,6030,6030,5D,1,750,8,1,110420.07331138846,112365.89895787863,1945.8256464901642,True,420.23308315044346,2.3531142320000527,247.4396 -677.4281;-553.3705 -506.2368;627.9203 -410.1412;-646.5796 378.3254;-11.9330 366.7442;545.2376 495.2273;732.4879 56.5946;-398.8554 38.8721
spacing,SSA,6030,6030,5D,1,750,8,2,111753.79049275594,112365.89895787863,612.1084651226847,True,401.84763961549316,2.396988104000002,-582.3689 -413.0145;417.1431 623.2779;-122.7772 675.2759;427.1342 -396.4169;-145.6069 -735.7300;62.0296 318.4454;-587.9995 448.5890;-333.9123 -27.5513
