Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Linear,Cubic,CubicCutout,Gauss,IdealCubic,IdealCubicCutout
PSO,1,500,2,20,6030,28091.474739469657,28091.474739469657,0.0,True,823.8332764805618,1.7849221189999869,28091.474739469657,23212.67310384682,22101.617458366913,28088.028117805738,23212.67310384682,22101.617458366913
PSO,1,500,2,21,6030,28091.474739469657,28091.474739469657,0.0,True,840.7187761514259,1.8144118769999975,28091.474739469657,23212.67310384682,22101.617458366913,28087.008136366527,23212.67310384682,22101.617458366913
PSO,1,500,2,22,6030,28091.474739469657,28091.474739469657,0.0,True,780.5489447647454,1.776587802999984,28091.474739469657,23212.67310384682,22101.617458366913,28083.57373236514,23212.67310384682,22101.617458366913
PSO,1,500,2,23,6030,28091.474739469657,28091.474739469657,0.0,True,805.7169406870117,1.687252332000014,28091.474739469657,23212.67310384682,22101.617458366913,27942.664279727276,23212.67310384682,22101.617458366913
PSO,1,500,2,24,6030,28091.474739469657,28091.474739469657,0.0,True,957.7744452246396,1.817635601999996,28091.474739469657,23212.67310384682,22101.617458366913,28089.295051733166,23212.67310384682,22101.617458366913
PSO,1,500,2,25,6030,28091.474739469657,28091.474739469657,0.0,True,869.5976164227587,1.7735866859999874,28091.474739469657,23212.67310384682,22101.617458366913,28086.570770346938,23212.67310384682,22101.617458366913
PSO,1,500,2,26,6030,28091.474739469657,28091.474739469657,0.0,True,953.9383998063,1.7487357210000027,28091.474739469657,23212.67310384682,22101.617458366913,28089.20716132874,23212.67310384682,22101.617458366913
PSO,1,500,2,27,6030,28091.474739469657,28091.474739469657,0.0,True,896.4712884648662,1.783687925000038,28091.474739469657,23212.67310384682,22101.617458366913,28086.791241479652,23212.67310384682,22101.617458366913
PSO,1,500,2,28,6030,28091.474739469657,28091.474739469657,0.0,True,728.6533135551464,1.8002876259999994,28091.474739469657,23212.67310384682,22101.617458366913,28084.468237696216,23212.67310384682,22101.617458366913
PSO,1,500,2,29,6030,28091.474739469657,28091.474739469657,0.0,True,839.6294319876688,1.73274730899999,28091.474739469657,23212.67310384682,22101.617458366913,28084.922575245408,23212.67310384682,22101.617458366913
PSO,1,500,2,30,6030,28091.474739469657,28091.474739469657,0.0,True,859.7265591058498,1.7344287139999892,28091.474739469657,23212.67310384682,22101.617458366913,28086.832894195348,23212.67310384682,22101.617458366913
DE,1,500,2,1,6030,28091.474739469657,28091.474739469657,0.0,True,815.2135453765933,2.020440155000017,28091.474739469657,23212.67310384682,22101.617458366913,28084.538602801375,23212.67310384682,22101.617458366913
DE,1,500,2,2,6030,28091.474739469657,28091.474739469657,0.0,True,871.6897683949726,2.0020376989999704,28091.474739469657,23212.67310384682,22101.617458366913,27951.38557640704,23212.67310384682,22101.617458366913
DE,1,500,2,3,6030,28091.474739469657,28091.474739469657,0.0,True,743.499787810727,1.971681423999996,28091.474739469657,23212.67310384682,22101.617458366913,28084.44255614452,23212.67310384682,22101.617458366913
DE,1,500,2,4,6030,28091.474739469657,28091.474739469657,0.0,True,902.3933601188216,2.0075804470000094,28091.474739469657,23212.67310384682,22101.617458366913,28071.016781286296,23212.67310384682,22101.617458366913
DE,1,500,2,5,6030,28091.474739469657,28091.474739469657,0.0,True,762.8166614782554,2.0141452220000247,28091.474739469657,23212.67310384682,22101.617458366913,28084.97212272612,23212.67310384682,22101.617458366913
