Radius,Turbines,Seed,Algorithm,WakeLoss,EnergyProduction,Runtime,RuntimeSingleRun,Evaluations,ObjectiveCalls,SurrogateInferences,SurrogateTrainPasses,Iterations,GateAdmissionRate,Dataset,Coordinates,Feasible308m
500,4,21,DE,131.3823384503703,56051.56726154963,0.0126771789044141,,3030,3030,0,0,100,0,1,176.05285510935303 373.00420405075437;-229.04800259594893 352.3303466859956;-469.2374003444979 10.290141511644492;362.594130731453 -328.9436343920124,True
500,4,22,DE,155.9355090197496,56027.01409098025,0.0126771789044141,,3030,3030,0,0,100,0,1,-377.51932332993334 283.47805849685267;-194.3016919605453 -292.90496564098515;13.397204003936736 278.8889048247949;291.438104164825 -374.03236693771527,True
500,4,23,DE,146.3304003906742,56036.61919960933,0.0126771789044141,,3030,3030,0,0,100,0,1,-322.20042606787996 300.47208153927215;106.90321260768056 279.1980101214184;425.5180434480832 -131.23874433365685;-444.0169886120922 -72.79359899970311,True
500,4,24,DE,147.3254520598712,56035.62414794013,0.0126771789044141,,3030,3030,0,0,100,0,1,175.67747535301476 378.72829996319854;-489.3141306030925 44.98500105502049;-103.0970647965469 -450.46874344333094;438.8074975470581 -26.842400483103567,True
500,4,25,DE,114.5883535018293,56068.36124649817,0.0126771789044141,,3030,3030,0,0,100,0,1,-65.65609173734013 481.3722312818586;160.02227621042476 -373.00281958993753;432.2729030705134 246.50837007458955;-405.9137098206611 -272.1935710251771,True
500,4,26,DE,126.2477570321134,56056.70184296789,0.0126771789044141,,3030,3030,0,0,100,0,1,-349.88335570948686 -282.26685502481416;166.85599026700345 -346.01208254541876;409.1985561000498 94.77862179652215;-170.75999928969887 387.0253180584265,True
500,4,27,DE,168.9450883880418,56014.00451161196,0.0126771789044141,,3030,3030,0,0,100,0,1,-327.98589655172935 249.22305895112754;288.5024671975061 273.71883289309307;19.87482742326506 -415.73239780656405;423.88824284311124 -102.9489699617701,True
500,4,28,DE,120.8280921430778,56062.12150785692,0.0126771789044141,,3030,3030,0,0,100,0,1,-358.20027462830984 -159.9929649394287;229.16544777217194 -349.4385206407035;436.6865771489225 -50.13925353294505;6.380446702528474 470.37140158646343,True
500,4,29,DE,180.9906191506525,56001.95898084935,0.0126771789044141,,3030,3030,0,0,100,0,1,148.17692623686733 432.62835948809914;-302.9107586343964 -242.1732116110269;367.08144087584225 -287.783537148963;-30.20048621825876 75.86369073488027,True
500,4,30,DE,148.3038362977313,56034.64576370227,0.0126771789044141,,3030,3030,0,0,100,0,1,377.30700208899214 -135.491344507823;-276.81646606428495 401.5921830836264;-459.2880683375207 -103.52921063380342;223.1110817851167 298.8363067896438,True
500,4,1,LXSSA,95.53103782094696,56087.41856217905,0.1456037763506174,,6030,6030,0,0,100,0,1,449.5334160323963 203.32135551583232;164.5241334450087 -313.11302964250007;-48.13408036815157 497.67761830683077;-450.6210946163487 -210.76765091447896,True
500,4,2,LXSSA,96.44332820078124,56086.50627179922,0.1456037763506174,,6030,6030,0,0,100,0,1,188.93898693529738 420.15352626720403;-427.56452473572375 257.80431207426483;434.8326115401854 -246.8199190329259;-213.64141389182095 -419.4890072951094,True
500,4,3,LXSSA,76.68603108347452,56106.26356891653,0.1456037763506174,,6030,6030,0,0,100,0,1,408.5558874192873 284.70903121006137;-323.6769569631341 -381.06331143813316;-26.120461724451943 381.3274900205674;208.41842105401832 -454.49047317635586,True
500,4,4,LXSSA,142.2950926798585,56040.65450732014,0.1456037763506174,,6030,6030,0,0,100,0,1,456.2132832666009 -203.99192661493714;-253.4891825258969 -397.06247720273467;-475.61195805676556 154.19841286701146;67.07559256795044 -117.26015005794008,True
500,4,5,LXSSA,97.8665258195906,56085.08307418041,0.1456037763506174,,6030,6030,0,0,100,0,1,499.9080150414293 -9.500829796293168;-430.3387991114446 253.43410263081444;65.53435184604605 356.3312759366996;-204.26572758214112 -424.54497516424885,True
500,4,6,LXSSA,70.53956335603289,56112.41003664397,0.1456037763506174,,6030,6030,0,0,100,0,1,196.03377392166234 -400.35061034624124;-279.0156265281115 410.21510548279906;-449.9119207920585 -177.22888836147146;385.6295821862514 318.26016214535093,True
500,4,7,LXSSA,80.37449430757988,56102.57510569242,0.1456037763506174,,6030,6030,0,0,100,0,1,-443.96575698284533 -229.27327010771992;204.40111612937395 -373.5620133470433;420.0991847080023 269.04277893707956;-263.0611680386748 425.2027876357641,True
500,4,8,LXSSA,117.2951569931974,56065.6544430068,0.1456037763506174,,6030,6030,0,0,100,0,1,178.39544567260756 -320.4762295618298;487.20259120399203 111.74634413140195;-268.7368190449576 -337.07247200204756;-431.1108273399127 252.96810425645782,True
500,4,9,LXSSA,106.6532816145554,56076.29631838544,0.1456037763506174,,6030,6030,0,0,100,0,1,261.57726009715395 -426.1186920721836;-138.11159784839444 480.54672903393833;-380.97384626068845 -323.25180387341766;475.41614558235744 154.85308444369176,True
500,4,10,LXSSA,147.3500492768435,56035.59955072316,0.1456037763506174,,6030,6030,0,0,100,0,1,-371.5285431367827 334.61401528431185;185.01942038062384 -464.50812931230536;455.30524954108915 206.63248883123322;-137.96010354069045 -36.51016464486695,True
500,4,11,LXSSA,142.5779027916506,56040.37169720835,0.1456037763506174,,6030,6030,0,0,100,0,1,-430.4124243399769 -254.3959245653334;-47.36512325133388 36.437582513746676;264.8634056971507 -424.07404294466545;499.8748732943869 10.825415811148503,True
500,4,12,LXSSA,99.47769989103108,56083.47190010897,0.1456037763506174,,6030,6030,0,0,100,0,1,-461.96164715232493 190.39955737192355;406.51861784797427 -291.10541591081835;-42.86986985141272 -465.6610526169557;-29.11503710302707 467.9839502911556,True
500,4,13,LXSSA,97.83587766486744,56085.11372233513,0.1456037763506174,,6030,6030,0,0,100,0,1,-491.10399587317863 -7.64166381207406;258.27267948347065 427.8948031154424;20.6555063153141 76.52931971857802;256.4645951588408 -428.1158319113847,True
500,4,14,LXSSA,70.70569310551218,56112.24390689449,0.1456037763506174,,6030,6030,0,0,100,0,1,-483.62453826772753 -126.84275711372109;99.61929238692684 459.43250311674745;388.3554769416142 97.03092681412026;113.40230195133502 -471.7174444989918,True
500,4,15,LXSSA,109.0198463459019,56073.9297536541,0.1456037763506174,,6030,6030,0,0,100,0,1,482.47202257094926 131.21953985553967;-216.59518079191156 450.6511957489783;54.54363243950604 -340.4218662055823;-412.0634167338689 -283.199896230148,True
500,4,16,LXSSA,87.82349584850454,56095.1261041515,0.1456037763506174,,6030,6030,0,0,100,0,1,-446.2381028946443 -225.27038595049038;199.13767670330503 -338.13918209510877;-220.75902610020648 398.8432686890686;449.44841478451553 219.0800570999084,True
500,4,17,LXSSA,117.3707575056251,56065.57884249437,0.1456037763506174,,6030,6030,0,0,100,0,1,446.7081577326203 217.48801904929746;177.42014288755607 -467.46317825032895;-155.1952534096739 333.8370458581454;-374.7301284226497 -331.02453097779147,True
500,4,18,LXSSA,111.6333578864287,56071.31624211357,0.1456037763506174,,6030,6030,0,0,100,0,1,-183.13930000211357 305.3472287294511;-439.03947481655376 -238.54426167764836;385.4770781726822 313.2547034273479;183.45720098307277 -457.3487358732201,True
500,4,19,LXSSA,91.0284946403408,56091.92110535966,0.1456037763506174,,6030,6030,0,0,100,0,1,396.3936551672798 -155.45614983241381;-448.12496522291923 81.96770923836146;-283.6161789762297 -399.7909956705835;204.48581038505014 455.3976924269202,True
500,4,20,LXSSA,93.54369518379826,56089.4059048162,0.1456037763506174,,6030,6030,0,0,100,0,1,78.55953333221834 229.03694814851366;479.8093907165371 139.42153449684392;-472.8132030299454 122.41621614927128;-145.50936138204537 -478.35838845182246,True
500,4,21,LXSSA,80.60772958405869,56102.34187041594,0.1456037763506174,,6030,6030,0,0,100,0,1,-219.90595572123112 -436.05525348840547;-433.86867498870123 248.5113824973553;423.1882240192923 -266.2924472034036;222.9486219161977 355.34019826399833,True
