Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
SSA,count,1,1000,8,24,320.2979143009579,112045.60104357767,True
SSA,count,1,1000,8,25,614.0003504701599,111751.89860740847,True
SSA,count,1,1000,8,26,703.2175188792608,111662.68143899937,True
SSA,count,1,1000,8,27,322.72391564087593,112043.17504223775,True
SSA,count,1,1000,8,28,10000000462.089548,111903.80940950754,False
SSA,count,1,1000,8,29,338.9771326298214,112026.9218252488,True
SSA,count,1,1000,8,30,378.4935445682204,111987.40541331041,True
SSA,count,2,500,4,1,328.11385335130035,28933.39972538736,True
SSA,count,2,500,4,2,256.81753687095625,29004.696041867704,True
SSA,count,2,500,4,3,247.7255204049361,29013.788058333725,True
SSA,count,2,500,4,4,203.58554274396374,29057.928035994697,True
SSA,count,2,500,4,5,285.52333027835266,28975.990248460308,True
SSA,count,2,500,4,6,358.3172553250224,28903.19632341364,True
SSA,count,2,500,4,7,312.40672123090917,28949.10685750775,True
SSA,count,2,500,4,8,281.4113730175013,28980.10220572116,True
SSA,count,2,500,4,9,240.38680059301623,29021.126778145644,True
SSA,count,2,500,4,10,224.93738147133627,29036.576197267324,True
SSA,count,2,500,4,11,200.31262991309268,29061.200948825568,True
SSA,count,2,500,4,12,292.4549509823337,28969.058627756327,True
SSA,count,2,500,4,13,185.77135992572948,29075.74221881293,True
SSA,count,2,500,4,14,366.08724756571246,28895.42633117295,True
SSA,count,2,500,4,15,352.2701603392961,28909.243418399365,True
SSA,count,2,500,4,16,282.5888584397835,28978.924720298877,True
SSA,count,2,500,4,17,245.49930543001028,29016.01427330865,True
SSA,count,2,500,4,18,402.34046596078406,28859.173112777877,True
SSA,count,2,500,4,19,398.0618825248639,28863.451696213797,True
SSA,count,2,500,4,20,214.68709003963158,29046.82648869903,True
SSA,count,2,500,4,21,343.16113527742345,28918.352443461237,True
SSA,count,2,500,4,22,267.09052290798354,28994.423055830677,True
SSA,count,2,500,4,23,257.7413564465387,29003.772222292122,True
SSA,count,2,500,4,24,320.1467095907865,28941.366869147874,True
SSA,count,2,500,4,25,64.36317715863697,29197.150401580024,True
SSA,count,2,500,4,26,260.92767124439706,29000.585907494264,True
SSA,count,2,500,4,27,234.76298834677073,29026.75059039189,True
SSA,count,2,500,4,28,228.2094248132089,29033.304153925452,True
SSA,count,2,500,4,29,288.0000052703872,28973.513573468274,True
SSA,count,2,500,4,30,369.2256903577145,28892.287888380946,True
SSA,count,2,750,8,1,1419.3752029695243,57103.6519545078,True
SSA,count,2,750,8,2,1631.2926104121725,56891.73454706515,True
SSA,count,2,750,8,3,2166.6684326731774,56356.358724804144,True
SSA,count,2,750,8,4,1388.2444968731288,57134.78266060419,True
SSA,count,2,750,8,5,10000001206.73939,57316.287768695234,False
SSA,count,2,750,8,6,1989.3927042586656,56533.634453218656,True
SSA,count,2,750,8,7,1411.3356522359172,57111.691505241404,True
SSA,count,2,750,8,8,1584.3706811884476,56938.656476288874,True
SSA,count,2,750,8,9,1593.1107024260418,56929.91645505128,True
SSA,count,2,750,8,10,1417.1201450009903,57105.90701247633,True
SSA,count,2,750,8,11,1483.9470427776832,57039.08011469964,True
SSA,count,2,750,8,12,2055.3581003738145,56467.66905710351,True
SSA,count,2,750,8,13,2523.953423433959,55999.07373404336,True
SSA,count,2,750,8,14,2015.8233784303447,56507.20377904698,True
SSA,count,2,750,8,15,1885.336838772193,56637.69031870513,True
SSA,count,2,750,8,16,1814.3933222215783,56708.63383525574,True
SSA,count,2,750,8,17,1522.9817132980825,57000.04544417924,True
SSA,count,2,750,8,18,1622.5326764415368,56900.494481035785,True
SSA,count,2,750,8,19,1802.7226204987383,56720.30453697858,True
SSA,count,2,750,8,20,2097.809759339165,56425.21739813816,True
SSA,count,2,750,8,21,2515.6700322404213,56007.3571252369,True
SSA,count,2,750,8,22,1475.8337132978631,57047.19344417946,True
SSA,count,2,750,8,23,1910.2602987915961,56612.766858685725,True
SSA,count,2,750,8,24,1539.447498244539,56983.57965923278,True
SSA,count,2,750,8,25,1422.954305637024,57100.0728518403,True
